valor: 39525 | pai: 0 | nivel: 0
valor: 39526 | pai: 39525 | nivel: 1
valor: 39524 | pai: 39526 | nivel: 2
valor: 58189 | pai: 39524 | nivel: 3
valor: 43296 | pai: 39524 | nivel: 3
valor: 43297 | pai: 43296 | nivel: 4
valor: 64675 | pai: 43297 | nivel: 5
valor: 46516 | pai: 39526 | nivel: 2
valor: 28884 | pai: 46516 | nivel: 3
valor: 28883 | pai: 28884 | nivel: 4
valor: 28886 | pai: 28883 | nivel: 5
valor: 28885 | pai: 28886 | nivel: 6
valor: 63537 | pai: 28885 | nivel: 7
valor: 63538 | pai: 63537 | nivel: 8
valor: 28887 | pai: 28885 | nivel: 7
valor: 46870 | pai: 28884 | nivel: 4
valor: 46669 | pai: 28884 | nivel: 4
